episode,reward
1,2.727765338996027
2,2.5820062013698446
3,2.4000626266297713
4,7.385967793820196
5,8.152684546170635
6,7.897255820215305
7,7.848148843874473
8,2.7625882890946056
9,7.7652561802350135
10,7.631828459045787
11,8.19031785808694
12,7.929960948083182
13,7.469575677602868
14,2.592027223191497
15,2.758918731624556
16,2.5282778915390653
17,8.057967032536
18,7.667001349201412
19,7.884831629193096
20,8.194832187979014
21,8.233292415974173
22,8.177662232705499
23,2.703857501876192
24,2.719198742333982
25,7.947025217551802
26,8.010100422561678
27,7.734198815087375
28,8.109092379246666
29,2.450992638694616
30,2.380964283207933
